id,question_text,answer,skill,difficulty,question_type,choices
274,Order from least to greatest: 2/3 1/2 3/4,1/2 2/3 3/4,Ordering Fractions,easy,fill_in_one,
275,Which fraction is smallest?,2/7,Ordering Fractions,medium,multiple_choice,2/7|3/8|1/3|4/9
276,Arrange in ascending order: 5/8 7/12 3/4,7/12 5/8 3/4,Ordering Fractions,hard,algebra,
277,Order from least to greatest: -5 2 -1 0,-5 -1 0 2,Ordering Integers,easy,fill_in_one,
278,Which integer is greatest?,3,Ordering Integers,easy,multiple_choice,3|−4|0|−1
279,Arrange in descending order: 8 -3 0 -7 5,8 5 0 -3 -7,Ordering Integers,medium,algebra,
280,Order from least to greatest: 2.3 2.03 2.33 2.303,2.03 2.3 2.303 2.33,Ordering Positive Decimals,medium,fill_in_one,
281,Which decimal is largest?,5.67,Ordering Positive Decimals,medium,multiple_choice,5.67|5.076|5.607|5.6
282,Arrange in ascending order: 0.45 0.405 0.54 0.045,0.045 0.405 0.45 0.54,Ordering Positive Decimals,hard,algebra,
283,Order from least to greatest: √9 π 3.5 10/3,√9 10/3 3.5 π,Ordering Real Numbers,hard,fill_in_one,
284,Which is largest: 2√2 √15 or 3.9?,√15,Ordering Real Numbers,hard,multiple_choice,√15|2√2|3.9|They are equal
285,Arrange in order: 5/2 √7 2.6,√7 5/2 2.6,Ordering Real Numbers,hard,algebra,
286,Order from least to greatest: 456 465 564 645,456 465 564 645,Ordering Whole Numbers,easy,fill_in_one,
287,Which number is smallest?,203,Ordering Whole Numbers,easy,multiple_choice,203|230|302|320
288,Arrange in descending order: 5040 5400 4500 4050,5400 5040 4500 4050,Ordering Whole Numbers,medium,algebra,
289,Parallel lines have the ___ slope,same,Parallel and Perpendicular Lines,medium,fill_in_one,
290,Perpendicular lines have slopes that are ___,negative reciprocals,Parallel and Perpendicular Lines,hard,multiple_choice,negative reciprocals|equal|positive reciprocals|opposites
291,If line A has slope 2/3 what is the slope of a line perpendicular to it?,-3/2,Parallel and Perpendicular Lines,hard,algebra,
292,If one line has slope 4 what slope does a parallel line have?,4,Parallel and Perpendicular Slopes,medium,fill_in_one,
293,Lines with slopes 2/5 and -5/2 are ___,perpendicular,Parallel and Perpendicular Slopes,hard,multiple_choice,perpendicular|parallel|neither|the same line
294,Find the slope of a line parallel to 3x + 2y = 6,-3/2,Parallel and Perpendicular Slopes,hard,algebra,
295,In 3x² - 2x + 5 the coefficient of x² is ___,3,Parts of a Polyomial,easy,fill_in_one,
296,How many terms are in 2x³ - x + 7?,3,Parts of a Polyomial,medium,multiple_choice,3|2|4|1
297,Identify the constant term in 4x³ + 2x² - x - 8,-8,Parts of a Polyomial,medium,algebra,
298,Find the next term in the pattern: 2 5 8 11 ___,14,Pattern Finding,easy,fill_in_one,
299,What comes next: 1 4 9 16 ___?,25,Pattern Finding,medium,multiple_choice,25|20|24|32
300,The sequence follows the rule 3n - 1. Find the 8th term,23,Pattern Finding,hard,algebra,
301,A $50 item is discounted 20%. What is the sale price?,$40,Percent Discount,easy,fill_in_one,
302,What is the final price of a $80 jacket after a 25% discount?,$60,Percent Discount,medium,multiple_choice,$60|$55|$20|$105
303,An item originally costs $120. After two successive discounts of 10% and 15% what is the final price?,$91.80,Percent Discount,hard,algebra,
304,A population increases from 200 to 250. What is the percent increase?,25%,Percent Increase or Decrease,medium,fill_in_one,
305,If a value decreases from 80 to 64 what is the percent decrease?,20%,Percent Increase or Decrease,medium,multiple_choice,20%|16%|25%|80%
306,A stock price went from $40 to $52 then dropped to $39. What is the overall percent change?,-2.5%,Percent Increase or Decrease,hard,algebra,
307,Calculate: 30% of 150,45,Percent Of,easy,fill_in_one,
308,What is 40% of 250?,100,Percent Of,medium,multiple_choice,100|40|10|1000
309,If 35% of x equals 70 find x,200,Percent Of,hard,algebra,
310,Convert 0.45 to a percent,45%,Percents,easy,fill_in_one,
311,What percent is 3/5?,60%,Percents,medium,multiple_choice,60%|35%|53%|65%
312,Express 1.25 as a percent,125%,Percents,hard,algebra,
313,Find the perimeter of a rectangle with length 8 and width 5,26,Perimeter of a Polygon,easy,fill_in_one,
314,What is the perimeter of a square with side length 7?,28,Perimeter of a Polygon,medium,multiple_choice,28|49|14|21
315,A regular pentagon has perimeter 35. Find the length of each side,7,Perimeter of a Polygon,hard,algebra,
316,Choose the inequality for: A number is at least 5,x ≥ 5,Picking Equation and Inequality from Choices,medium,fill_in_one,
317,Which represents: The sum of x and 7 is less than 12?,x + 7 < 12,Picking Equation and Inequality from Choices,medium,multiple_choice,x + 7 < 12|x + 7 > 12|x + 7 ≤ 12|x + 7 = 12
318,Select the inequality: Three times a number plus 4 is at most 19,3x + 4 ≤ 19,Picking Equation and Inequality from Choices,hard,algebra,
319,Plot the point (3 -2). It is in quadrant ___,IV,Point Plotting,easy,fill_in_one,
320,Which point is in Quadrant II?,(-3 4),Point Plotting,medium,multiple_choice,(-3 4)|(2 5)|(-1 -6)|(4 -1)
321,The point (0 -5) lies on the ___,y-axis,Point Plotting,medium,algebra,
322,Factor completely: 6x² + 9x,3x(2x + 3),Polynomial Factors,medium,fill_in_one,
323,What is the GCF of 12a³b² and 8ab³?,4ab²,Polynomial Factors,hard,multiple_choice,4ab²|12ab|8a³b³|4a³b³
324,Factor: x³ - 4x² + 4x,x(x - 2)²,Polynomial Factors,hard,algebra,
325,17 is a ___ number,prime,Prime Number,easy,fill_in_one,
326,Which number is prime?,13,Prime Number,medium,multiple_choice,13|15|21|9
327,Find the smallest prime factor of 91,7,Prime Number,hard,algebra,
328,What is P(heads) when flipping a fair coin?,1/2,Probability of a Single Event,easy,fill_in_one,
329,A bag contains 3 red and 2 blue marbles. What is P(red)?,3/5,Probability of a Single Event,medium,multiple_choice,3/5|2/5|3/2|5/3
330,A number cube is rolled. Find P(even number),1/2,Probability of a Single Event,medium,algebra,
331,Two coins are flipped. What is P(both heads)?,1/4,Probability of Two Distinct Events,medium,fill_in_one,
332,What is the probability of rolling two 6s with two dice?,1/36,Probability of Two Distinct Events,hard,multiple_choice,1/36|1/6|2/36|1/18
333,A bag has 4 red and 6 blue balls. Two are drawn without replacement. Find P(both red),2/15,Probability of Two Distinct Events,hard,algebra,
334,All squares are ___,rectangles,Properties and Classification Quadrilaterals,easy,fill_in_one,
335,Which quadrilateral has exactly one pair of parallel sides?,Trapezoid,Properties and Classification Quadrilaterals,medium,multiple_choice,Trapezoid|Rectangle|Parallelogram|Rhombus
336,A rhombus has ___ equal sides and ___ pairs of parallel sides,4 equal sides 2 pairs,Properties and Classification Quadrilaterals,hard,algebra,
337,A rectangular prism has ___ faces,6,Properties and Classification Rectangular Prisms,easy,fill_in_one,
338,How many edges does a rectangular prism have?,12,Properties and Classification Rectangular Prisms,medium,multiple_choice,12|8|6|10
339,The volume of a rectangular prism is length × width × ___,height,Properties and Classification Rectangular Prisms,medium,algebra,
340,An equilateral triangle has ___ equal sides,3,Properties and Classification Triangles,easy,fill_in_one,
341,What type of triangle has all angles less than 90°?,Acute,Properties and Classification Triangles,medium,multiple_choice,Acute|Right|Obtuse|Scalene
342,A triangle with sides 3 4 5 is a ___ triangle,right,Properties and Classification Triangles,hard,algebra,
343,The additive identity is ___,0,Properties of Numbers,easy,fill_in_one,
344,Which property states that a + 0 = a?,Identity Property,Properties of Numbers,medium,multiple_choice,Identity Property|Commutative Property|Associative Property|Distributive Property
345,The multiplicative inverse of 3/4 is ___,4/3,Properties of Numbers,hard,algebra,
346,Solve the proportion: 3/4 = x/12,x = 9,Proportion,medium,fill_in_one,
347,What is x in 5/8 = 15/x?,x = 24,Proportion,medium,multiple_choice,x = 24|x = 40|x = 6|x = 12
348,If 2/3 = 8/y then y = ___,12,Proportion,hard,algebra,
349,In a right triangle with legs 3 and 4 the hypotenuse is ___,5,Pythagorean Theorem,easy,fill_in_one,
350,What is the hypotenuse of a right triangle with legs 5 and 12?,13,Pythagorean Theorem,medium,multiple_choice,13|17|7|169
351,A ladder 10 feet long leans against a wall. If the base is 6 feet from the wall how high up does it reach?,8 feet,Pythagorean Theorem,hard,algebra,
352,Solve: x² = 25,x = ±5,Quadratic Equation Solving,easy,fill_in_one,
353,What are the solutions to x² - 9 = 0?,x = ±3,Quadratic Equation Solving,medium,multiple_choice,x = ±3|x = 9|x = 3|x = ±9
354,Solve using the quadratic formula: x² + 2x - 3 = 0,x = 1 or x = -3,Quadratic Equation Solving,hard,algebra,
355,Find the range of the data: 8 12 15 20 25,17,Range,easy,fill_in_one,
356,What is the range of 3 7 12 18 22?,19,Range,medium,multiple_choice,19|25|62|12.4
357,A dataset has minimum 15 and maximum 43. The range is ___,28,Range,medium,algebra,
358,A car travels 180 miles in 3 hours. What is the rate?,60 mph,Rate,easy,fill_in_one,
359,What is the unit rate for 240 words in 4 minutes?,60 words per minute,Rate,medium,multiple_choice,60 words per minute|240 words per minute|4 words per minute|960 words per minute
360,Water flows at a rate of 15 gallons per 2 minutes. How many gallons in 8 minutes?,60 gallons,Rate,hard,algebra,
361,On this ruler the arrow points to ___,2.3,Reading a Ruler or Scale,easy,fill_in_one,
362,What measurement does the scale show?,7.5,Reading a Ruler or Scale,medium,multiple_choice,7.5|7.0|8.0|7.25
363,A scale reads 156.8. Round to the nearest whole number,157,Reading a Ruler or Scale,medium,algebra,
364,The sequence 2 5 8 11 14 follows a ___ pattern,linear,Recognize Linear Pattern,medium,fill_in_one,
365,Which sequence is linear?,3 7 11 15 19,Recognize Linear Pattern,medium,multiple_choice,3 7 11 15 19|1 2 4 8 16|1 4 9 16 25|2 6 18 54
366,A linear pattern has first term 4 and common difference 3. Find the 10th term,31,Recognize Linear Pattern,hard,algebra,
367,Which expression equals 2(x + 3)?,2x + 6,Recognizing Equivalent Expressions,easy,fill_in_one,
368,Which is equivalent to 3x - 6?,3(x - 2),Recognizing Equivalent Expressions,medium,multiple_choice,3(x - 2)|3(x + 2)|x - 2|3x - 2
369,Identify which is equivalent to (x + 4)² - 16,x² + 8x,Recognizing Equivalent Expressions,hard,algebra,
370,Point (3 4) reflected over the x-axis becomes ___,(3 -4),Reflection,medium,fill_in_one,
371,What is (-2 5) reflected over the y-axis?,(2 5),Reflection,medium,multiple_choice,(2 5)|(-2 -5)|(2 -5)|(-2 5)
372,Point A(1 -3) is reflected over the line y = x. Find A',(-3 1),Reflection,hard,algebra,
373,Point (2 3) rotated 90° counterclockwise about the origin becomes ___,(-3 2),Rotations,medium,fill_in_one,
374,What is (4 1) after a 180° rotation about the origin?,(-4 -1),Rotations,hard,multiple_choice,(-4 -1)|(4 -1)|(-4 1)|(1 4)
375,Point (a b) rotated 270° counterclockwise about the origin becomes ___,(b -a),Rotations,hard,algebra,
376,Round 47.83 to the nearest tenth,47.8,Rounding,easy,fill_in_one,
377,What is 239 rounded to the nearest hundred?,200,Rounding,medium,multiple_choice,200|240|300|230
378,Round 5.9962 to three decimal places,5.996,Rounding,hard,algebra,
379,A ___ sample represents the entire population,random,Sampling Techniques,medium,fill_in_one,
380,Which sampling method could introduce bias?,Convenience sampling,Sampling Techniques,hard,multiple_choice,Convenience sampling|Random sampling|Systematic sampling|Stratified sampling
381,Explain why surveying only students at a library might not represent all students,Library users may have different study habits than the general student population,Sampling Techniques,hard,algebra,
382,If two similar figures have a ratio 2:3 what is the scale factor?,2/3,Scale Factor,medium,fill_in_one,
383,Similar triangles have sides in ratio 4:7. What is the scale factor from small to large?,4/7,Scale Factor,hard,multiple_choice,4/7|7/4|4/11|7/11
384,Two similar rectangles have areas 16 and 36. Find the ratio of corresponding sides,2:3,Scale Factor,hard,algebra,
385,In a scatter plot if points generally go up from left to right the correlation is ___,positive,Scatter Plot,medium,fill_in_one,
386,What type of correlation does this describe: As temperature increases ice cream sales increase?,Positive correlation,Scatter Plot,medium,multiple_choice,Positive correlation|Negative correlation|No correlation|Perfect correlation
387,A scatter plot shows strong negative correlation. As x increases y ___,decreases,Scatter Plot,hard,algebra,
388,Express 4500 in scientific notation,4.5 × 10³,Scientific Notation,medium,fill_in_one,
389,What is 0.00032 in scientific notation?,3.2 × 10⁻⁴,Scientific Notation,hard,multiple_choice,3.2 × 10⁻⁴|32 × 10⁻⁵|3.2 × 10⁴|0.32 × 10⁻³
390,Convert 2.4 × 10⁵ to standard form,240000,Scientific Notation,hard,algebra,
391,Similar figures have the same ___ but different ___,shape size,Similar Figures,easy,fill_in_one,
392,If triangles are similar with ratio 3:5 and the smaller has perimeter 21 what is the larger's perimeter?,35,Similar Figures,medium,multiple_choice,35|63|15|105
393,Two similar polygons have areas 25 and 64. Find the ratio of their perimeters,5:8,Similar Figures,hard,algebra,
394,Simplify: x⁵/x²,x³,Simplifying Expressions positive exponents,medium,fill_in_one,
395,What is (2³)² ÷ 2⁴?,4,Simplifying Expressions positive exponents,hard,multiple_choice,4|16|2|8
396,Simplify: (3a²b³)² / (ab)²,9a²b⁴,Simplifying Expressions positive exponents,hard,algebra,
397,The slope of a line is rise over ___,run,Slope,easy,fill_in_one,
398,A horizontal line has slope ___,0,Slope,medium,multiple_choice,0|1|undefined|∞
399,Find the slope between points (2 1) and (6 9),2,Slope,hard,algebra,
400,Factor and solve: x² - 5x + 6 = 0,x = 2 or x = 3,Solve Quadratic Equations Using Factoring,hard,fill_in_one,
401,What are the solutions to x² - 7x + 12 = 0?,x = 3 or x = 4,Solve Quadratic Equations Using Factoring,hard,multiple_choice,x = 3 or x = 4|x = 3 or x = -4|x = -3 or x = 4|x = 6 or x = 2
402,Solve by factoring: 2x² + 8x + 6 = 0,x = -1 or x = -3,Solve Quadratic Equations Using Factoring,hard,algebra,
403,Solve: 2x + 5 > 11,x > 3,Solving Inequalities,medium,fill_in_one,
404,What is the solution to 3x - 7 ≤ 8?,x ≤ 5,Solving Inequalities,medium,multiple_choice,x ≤ 5|x ≥ 5|x ≤ 15|x ≥ 15
405,Solve and graph: -2x + 6 < 10,x > -2,Solving Inequalities,hard,algebra,
406,Solve the system: x + y = 5 x - y = 1,x = 3 y = 2,Solving System of Equation,medium,fill_in_one,
407,What is the solution to: 2x + y = 7 x - y = 2?,(3 1),Solving System of Equation,hard,multiple_choice,(3 1)|(1 3)|(2 3)|(5 -3)
408,Solve: 3x + 2y = 12 x - y = 1,x = 2 y = 3,Solving System of Equation,hard,algebra,
409,Solve the system: y = 2x + 1 y = -x + 7,x = 2 y = 5,Solving Systems of Linear Equations,medium,fill_in_one,
410,Find the solution: 2x + y = 8 x + 2y = 7,(3 2),Solving Systems of Linear Equations,hard,multiple_choice,(3 2)|(2 3)|(1 6)|(4 0)
411,Solve: 3x - y = 5 2x + 3y = 16,x = 3 y = 4,Solving Systems of Linear Equations,hard,algebra,
412,Solve for y: 3x + 2y = 14,y = (14 - 3x)/2,Solving for a variable,medium,fill_in_one,
413,In the equation A = lw solve for w,w = A/l,Solving for a variable,medium,multiple_choice,w = A/l|w = Al|w = A - l|w = A + l
414,Solve for r: C = 2πr,r = C/(2π),Solving for a variable,hard,algebra,
415,What is √64?,8,Square Root,easy,fill_in_one,
416,Which is equal to √100?,10,Square Root,easy,multiple_choice,10|50|20|1000
417,Simplify: √48,4√3,Square Root,medium,algebra,
418,Find √36 + √49,13,Square Roots,easy,fill_in_one,
419,What is √25 × √9?,15,Square Roots,medium,multiple_choice,15|34|225|150
420,Simplify: √72 - √18,3√2,Square Roots,hard,algebra,
421,Write 3000 + 500 + 20 + 7 in standard form,3527,Standard and Word Notation,easy,fill_in_one,
422,What is "four thousand sixty-three" in standard form?,4063,Standard and Word Notation,medium,multiple_choice,4063|463|40063|4630
423,Express 50407 in word form,fifty thousand four hundred seven,Standard and Word Notation,hard,algebra,
424,A stem-and-leaf plot shows 2|3 meaning ___,23,Stem and Leaf Plot,easy,fill_in_one,
425,In a stem-and-leaf plot what does 4|2 7 9 represent?,42 47 49,Stem and Leaf Plot,medium,multiple_choice,42 47 49|4 2 7 9|427 9|249
426,Create a stem-and-leaf plot for: 23 31 35 28 33. What is the stem for 28?,2,Stem and Leaf Plot,hard,algebra,
427,If x = 3 find the value of 2x + 5,11,Substitution,easy,fill_in_one,
428,When a = 4 and b = 2 what is 3a - b?,10,Substitution,medium,multiple_choice,10|14|6|2
429,If p = -2 and q = 5 evaluate p² + 3q,19,Substitution,hard,algebra,
430,Calculate: 567 - 238,329,Subtraction Whole Numbers,easy,fill_in_one,
431,What is 1000 - 347?,653,Subtraction Whole Numbers,medium,multiple_choice,653|347|1347|753
432,If 456 - x = 189 find x,267,Subtraction Whole Numbers,hard,algebra,
433,Find the surface area of a cylinder with radius 3 and height 8,66π,Surface Area Cylinder,hard,fill_in_one,
434,What is the surface area formula for a cylinder?,2πr² + 2πrh,Surface Area Cylinder,hard,multiple_choice,2πr² + 2πrh|2πr + 2πh|πr² + 2πrh|πr² + πrh
435,A cylinder has radius 5 and height 12. Find its surface area,170π,Surface Area Cylinder,hard,algebra,
436,The surface area of a rectangular prism is ___,2(lw + lh + wh),Surface Area Rectangular Prism,medium,fill_in_one,
437,Find surface area of a box: length 4 width 3 height 2,52,Surface Area Rectangular Prism,hard,multiple_choice,52|24|48|26
438,A rectangular prism has dimensions 6 × 4 × 5. What is its surface area?,148,Surface Area Rectangular Prism,hard,algebra,
439,The surface area of a sphere with radius r is ___,4πr²,Surface Area Sphere,hard,fill_in_one,
440,What is the surface area of a sphere with radius 6?,144π,Surface Area Sphere,hard,multiple_choice,144π|36π|72π|432π
441,Find the surface area of a sphere with diameter 10,100π,Surface Area Sphere,hard,algebra,
442,Surface area measures the ___ of all faces,total area,Surface Area of 3D Objects,medium,fill_in_one,
443,Which unit is appropriate for surface area?,square meters,Surface Area of 3D Objects,medium,multiple_choice,square meters|meters|cubic meters|degrees
444,A cube has edge length 4. Find its surface area,96,Surface Area of 3D Objects,hard,algebra,
445,The mathematical symbol for "is equal to" is ___,=,Symbolization,easy,fill_in_one,
446,Which symbol means "is not equal to"?,≠,Symbolization,medium,multiple_choice,≠|≈|≥|≤
447,Write "x is greater than or equal to 5" using symbols,x ≥ 5,Symbolization,medium,algebra,
448,Make a table for y = 2x + 1 using x values 0 1 2,x: 0 1 2; y: 1 3 5,Table,medium,fill_in_one,
449,Complete the table for y = x² - 3 when x = -1 0 1,(x y): (-1 -2) (0 -3) (1 -2),Table,hard,multiple_choice,(-1 -2) (0 -3) (1 -2)|(-1 4) (0 3) (1 4)|(-1 -4) (0 -3) (1 -4)|(-1 2) (0 -3) (1 2)
450,Create a table for y = 3x - 2 with x from 1 to 4,x: 1 2 3 4; y: 1 4 7 10,Table,hard,algebra,
451,In 5x² + 3x - 2 how many terms are there?,3,Terms,easy,fill_in_one,
452,Which expression has 4 terms?,2x³ + x² - 5x + 1,Terms,medium,multiple_choice,2x³ + x² - 5x + 1|3x² + 2|x + y|5x³ - x
453,Count the terms in: 7a³b - 2ab² + 3a - b + 5,5,Terms,hard,algebra,
454,A transformation changes the ___ or ___ of a figure,position size,Transformation,medium,fill_in_one,
455,Which is NOT a transformation?,Coloring,Transformation,medium,multiple_choice,Coloring|Translation|Rotation|Reflection
456,Name three types of transformations,translation rotation reflection,Transformation,hard,algebra,
457,Point (4 1) translated 3 units left and 2 units up becomes ___,(1 3),Translations,medium,fill_in_one,
458,What is (-2 5) after translation (x y) → (x + 4 y - 1)?,(2 4),Translations,hard,multiple_choice,(2 4)|(2 6)|(-6 4)|(-2 4)
459,A figure is translated by the vector ⟨-3 5⟩. Point A(2 -1) becomes ___,(-1 4),Translations,hard,algebra,
460,Probability is a measure of how ___ an event is to occur,likely,Understanding Concept of Probabilities,easy,fill_in_one,
461,Probability values range from ___ to ___,0 to 1,Understanding Concept of Probabilities,medium,multiple_choice,0 to 1|-1 to 1|0 to 100|1 to 10
462,If an event is impossible its probability is ___,0,Understanding Concept of Probabilities,medium,algebra,
463,Convert 5 feet to inches,60 inches,Unit Conversion Standard to Metric,easy,fill_in_one,
464,How many ounces are in 3 pounds?,48 ounces,Unit Conversion Standard to Metric,medium,multiple_choice,48 ounces|36 ounces|12 ounces|96 ounces
465,Convert 2.5 miles to feet,13200 feet,Unit Conversion Standard to Metric,hard,algebra,
466,Convert 3000 grams to kilograms,3 kg,Unit Conversion Within a System,easy,fill_in_one,
467,How many centimeters are in 2.5 meters?,250 cm,Unit Conversion Within a System,medium,multiple_choice,250 cm|25 cm|2500 cm|0.25 cm
468,Convert 4500 milliliters to liters,4.5 L,Unit Conversion Within a System,hard,algebra,
469,If 3 apples cost $2 what is the unit rate per apple?,$0.67 per apple,Unit Rate,medium,fill_in_one,
470,What is the unit rate for 240 miles in 4 hours?,60 mph,Unit Rate,medium,multiple_choice,60 mph|240 mph|4 mph|960 mph
471,A printer prints 180 pages in 6 minutes. Find the unit rate,30 pages per minute,Unit Rate,hard,algebra,
472,In the expression 3x + 7 the ___ is the unknown,variable,Variable,easy,fill_in_one,
473,Which letter represents a variable in 2y - 5?,y,Variable,easy,multiple_choice,y|2|5|None
474,If n represents a number write an expression for "5 more than twice the number",2n + 5,Variable,medium,algebra,
475,A Venn diagram shows relationships between ___,sets,Venn Diagram,easy,fill_in_one,
476,In a Venn diagram the overlapping region represents ___,intersection,Venn Diagram,medium,multiple_choice,intersection|union|complement|difference
477,Draw a Venn diagram for sets A = {1 2 3 4} and B = {3 4 5 6}. How many elements are in A ∩ B?,2,Venn Diagram,hard,algebra,
478,The volume of a cone is ___,⅓πr²h,Volume Cone,medium,fill_in_one,
479,What is the volume of a cone with radius 3 and height 4?,12π,Volume Cone,hard,multiple_choice,12π|36π|9π|48π
480,Find the volume of a cone: radius 6 height 8,96π,Volume Cone,hard,algebra,
481,Volume of a cylinder = ___,πr²h,Volume Cylinder,medium,fill_in_one,
482,What is the volume of a cylinder with radius 2 and height 5?,20π,Volume Cylinder,hard,multiple_choice,20π|40π|10π|14π
483,A cylindrical tank has radius 4 feet and height 10 feet. Find its volume,160π cubic feet,Volume Cylinder,hard,algebra,
484,The volume of a rectangular prism is length × width × ___,height,Volume Prism,easy,fill_in_one,
485,Find the volume of a prism: length 6 width 4 height 3,72,Volume Prism,medium,multiple_choice,72|52|13|18
486,What is the volume of a cube with edge length 5?,125,Volume Prism,hard,algebra,
487,Volume of a pyramid = ___,⅓ × base area × height,Volume Pyramid,medium,fill_in_one,
488,What is the volume of a pyramid with base area 36 and height 9?,108,Volume Pyramid,hard,multiple_choice,108|324|12|972
489,Find the volume of a square pyramid: base edge 6 height 8,96,Volume Pyramid,hard,algebra,
490,Find the volume of a box: 8 × 6 × 4,192,Volume Rectangular Prism,easy,fill_in_one,
491,What is the volume of a rectangular prism with dimensions 5 × 3 × 7?,105,Volume Rectangular Prism,medium,multiple_choice,105|15|35|525
492,A storage box has volume 240 cubic inches length 8 inches and width 6 inches. Find the height,5 inches,Volume Rectangular Prism,hard,algebra,
493,Volume of a sphere = ___,⁴⁄₃πr³,Volume Sphere,hard,fill_in_one,
494,What is the volume of a sphere with radius 3?,36π,Volume Sphere,hard,multiple_choice,36π|27π|108π|9π
495,Find the volume of a sphere with diameter 6,36π,Volume Sphere,hard,algebra,
496,Volume is measured in ___ units,cubic,Volume of 3D Objects,easy,fill_in_one,
497,Which formula gives volume?,length × width × height,Volume of 3D Objects,medium,multiple_choice,length × width × height|2(length + width)|4 × side|πr²
498,A swimming pool holds 5000 cubic feet of water. This measures the pool's ___,volume,Volume of 3D Objects,medium,algebra,
499,Write the equation of a line through (0 3) with slope 2,y = 2x + 3,Write Linear Equation from Graph,medium,fill_in_one,
500,What is the equation of a line with y-intercept 5 and slope -1?,y = -x + 5,Write Linear Equation from Graph,medium,multiple_choice,y = -x + 5|y = x + 5|y = -5x + 1|y = 5x - 1
501,A line passes through (0 -2) and (3 1). Write its equation,y = x - 2,Write Linear Equation from Graph,hard,algebra,
502,Find the equation through points (1 4) and (3 10),y = 3x + 1,Write Linear Equation from Ordered Pairs,hard,fill_in_one,
503,What is the equation through (2 7) and (4 13)?,y = 3x + 1,Write Linear Equation from Ordered Pairs,hard,multiple_choice,y = 3x + 1|y = 6x - 5|y = 2x + 3|y = x + 5
504,Write the equation through (-1 2) and (2 8),y = 2x + 4,Write Linear Equation from Ordered Pairs,hard,algebra,
505,A plumber charges $50 plus $30 per hour. Write an equation for total cost,y = 30x + 50,Write Linear Equation from Situation,medium,fill_in_one,
506,Car rental costs $25 per day plus $0.15 per mile. Which equation represents total cost?,C = 25d + 0.15m,Write Linear Equation from Situation,hard,multiple_choice,C = 25d + 0.15m|C = 25 + 0.15dm|C = (25 + 0.15)d|C = 25m + 0.15d
507,A gym membership costs $40 to join plus $15 per month. Write the equation,y = 15x + 40,Write Linear Equation from Situation,hard,algebra,
508,Write an expression for: 3 more than twice a number,2n + 3,Writing Expression from Diagrams,easy,fill_in_one,
509,What expression represents the perimeter of a rectangle with length x and width 5?,2x + 10,Writing Expression from Diagrams,medium,multiple_choice,2x + 10|x + 5|5x|2(x + 5)
510,A rectangle has length (2x + 3) and width x. Write an expression for its area,x(2x + 3),Writing Expression from Diagrams,hard,algebra,
511,On a coordinate plane point (3 -2) has x-coordinate ___,3,X-Y Graph Reading,easy,fill_in_one,
512,What is the y-coordinate of point (-4 7)?,7,X-Y Graph Reading,easy,multiple_choice,7|-4|4|-7
513,A point lies in Quadrant III. Both coordinates are ___,negative,X-Y Graph Reading,medium,algebra,
514,Subtract: 4 - 7,-3,-,easy,fill_in_one,
515,What is 15 - 23?,-8,-,medium,multiple_choice,-8|8|-38|38
516,Calculate: -6 - (-10),4,-,hard,algebra,
517,Divide: 20 ÷ 4,5,/,easy,fill_in_one,
518,What is 72 ÷ 8?,9,/,medium,multiple_choice,9|8|64|80
519,Calculate: 150 ÷ (-6),-25,/,hard,algebra,
520,All positive real numbers are greater than ___,0,* () positive reals,easy,fill_in_one,
521,Which set contains only positive real numbers?,{1 2.5 √9 π},* () positive reals,medium,multiple_choice,{1 2.5 √9 π}|{-1 0 1 2}|{-5 -2.3 0}|{0 1 2 3}
522,Express the set of positive real numbers using interval notation,(0 ∞),* () positive reals,hard,algebra,
523,A recipe uses 2 cups flour and 1 cup sugar. If you double the recipe how much flour?,4 cups,Addition Whole Numbers,easy,fill_in_one,
524,Tom has 145 marbles Jim has 238. How many do they have together?,383,Addition Whole Numbers,medium,multiple_choice,383|93|373|393
525,A store sold 1847 items Monday 2156 Tuesday and 3098 Wednesday. Find the total,7101,Addition Whole Numbers,hard,algebra,
526,Express 7/10 as a decimal,0.7,Addition and Subtraction Fractions,easy,fill_in_one,
527,Calculate: 5/12 + 1/4,2/3,Addition and Subtraction Fractions,medium,multiple_choice,2/3|6/16|5/16|9/12
528,Solve: x + 2/3 = 5/6,x = 1/6,Addition and Subtraction Fractions,hard,algebra,
529,The temperature was -5°C then rose 8°C. What is the new temperature?,3°C,Addition and Subtraction Integers,easy,fill_in_one,
530,An elevator on floor -2 goes up 7 floors. What floor is it now on?,5,Addition and Subtraction Integers,medium,multiple_choice,5|9|-9|-5
531,Solve: x - (-12) = 5,x = -7,Addition and Subtraction Integers,hard,algebra,
532,A book costs $12.50 and tax is $1.25. What is the total?,13.75,Addition and Subtraction Positive Decimals,easy,fill_in_one,
533,Calculate: 15.75 - 8.99,6.76,Addition and Subtraction Positive Decimals,medium,multiple_choice,6.76|7.76|6.24|24.74
534,If x + 3.7 = 12.5 find x,8.8,Addition and Subtraction Positive Decimals,hard,algebra,
535,Combine like terms: 7y - 3y + 2y,6y,Algebraic Simplification,easy,fill_in_one,
536,Simplify: 2(3x + 4) - 5,6x + 3,Algebraic Simplification,medium,multiple_choice,6x + 3|6x - 3|11x + 4|6x + 13
537,Expand and simplify: 3(2x - 1) + 2(x + 4),8x + 5,Algebraic Simplification,hard,algebra,
538,If 3x = 21 then x = ___,7,Algebraic Solving,easy,fill_in_one,
